                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80109,                 2.1413,                 3.1018,                 1.3247,                0.40314,                0.61293,                0.52573,                0.38955,                0.39965,                0.60605,                0.52334,                0.36705,                0.91097,                 1.8584,                 2.1932,                 1.5148,             0.00020752,             0.00020752,             0.00020752
                      2,                 0.8359,                 1.7792,                 2.1054,                 1.3432,                0.78428,                0.56982,                0.75778,                 0.4964,                0.74575,                0.60034,                0.72197,                0.45425,                0.97037,                 2.4731,                 2.0902,                 1.5794,             0.00041174,             0.00041174,             0.00041174
                      3,                0.80929,                 1.6898,                 1.8033,                 1.3137,                0.57376,                0.65757,                0.59461,                0.43273,                0.57652,                 0.6527,                0.59895,                0.42928,                 1.0255,                 2.3812,                 2.1479,                 1.6473,             0.00061183,             0.00061183,             0.00061183
                      4,                0.82136,                 1.6615,                 1.7066,                 1.3048,                0.71324,                0.65963,                0.71895,                0.51815,                0.66417,                0.68794,                0.71506,                0.50202,                0.89718,                 1.8522,                 1.7164,                 1.4302,             0.00060644,             0.00060644,             0.00060644
                      5,                0.78832,                  1.581,                 1.5244,                  1.286,                0.81646,                0.63363,                0.70312,                0.50183,                0.82648,                0.64055,                0.71442,                0.47286,                 1.0041,                 2.1414,                 1.7987,                 1.6035,             0.00060644,             0.00060644,             0.00060644
                      6,                  0.759,                 1.5773,                  1.416,                 1.2716,                0.77985,                 0.7679,                0.84783,                 0.6323,                0.77985,                 0.7679,                0.84334,                0.63625,                0.88053,                 1.7435,                 1.5316,                 1.3979,             0.00060025,             0.00060025,             0.00060025
                      7,                0.73671,                 1.4934,                 1.3018,                 1.2517,                0.79296,                0.72361,                  0.805,                 0.6031,                0.78285,                0.71136,                0.79764,                0.60582,                0.90293,                 1.7197,                 1.6175,                 1.4763,             0.00059406,             0.00059406,             0.00059406
                      8,                0.73114,                 1.4656,                 1.2613,                  1.237,                0.80606,                0.70417,                0.84856,                0.66395,                0.80606,                0.70417,                0.85028,                0.64737,                0.84284,                 1.9371,                 1.3311,                 1.4147,             0.00058787,             0.00058787,             0.00058787
                      9,                0.69512,                 1.4178,                 1.1969,                 1.2157,                0.91295,                0.69085,                0.87837,                0.65095,                0.91295,                0.69085,                0.87434,                0.62053,                0.92224,                 2.1021,                 1.2088,                 1.4648,             0.00058169,             0.00058169,             0.00058169
                     10,                0.71204,                 1.4276,                 1.1647,                 1.2288,                0.82462,                0.78263,                0.82428,                0.61303,                0.78003,                0.75572,                0.80474,                0.57769,                0.89809,                 1.8794,                 1.4442,                 1.4419,              0.0005755,              0.0005755,              0.0005755
                     11,                0.69452,                 1.4115,                  1.091,                 1.2171,                0.75329,                0.74811,                0.81242,                0.61593,                0.75926,                0.75063,                0.80305,                0.59344,                0.85375,                  1.863,                 1.4796,                 1.4181,             0.00056931,             0.00056931,             0.00056931
